total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
34,6,0,0,2,0,0,0,0,0,0,0,0,40,2,0,2,0,0,0,2013-12-30,2013-12-31,Woche vom 30.12.2013
155,46,17,4,5,0,0,2,1,0,0,1,0,201,22,4,26,1,2,3,2013-12-23,2013-12-29,Woche vom 23.12.2013
103,40,19,6,8,0,2,0,1,0,0,0,0,143,27,6,33,3,0,3,2013-12-16,2013-12-22,Woche vom 16.12.2013
104,41,19,2,11,1,1,0,1,0,0,0,0,145,30,3,33,2,0,2,2013-12-09,2013-12-15,Woche vom 09.12.2013
148,35,27,11,7,0,4,1,1,0,0,1,0,183,34,11,45,5,1,6,2013-12-02,2013-12-08,Woche vom 02.12.2013
195,53,30,8,5,0,3,0,2,0,0,3,0,248,35,8,43,5,0,5,2013-11-25,2013-12-01,Woche vom 25.11.2013
178,104,30,9,8,0,2,0,1,0,0,3,0,282,38,9,47,3,0,3,2013-11-18,2013-11-24,Woche vom 18.11.2013
159,34,19,6,6,0,1,0,0,0,0,1,0,193,25,6,31,1,0,1,2013-11-11,2013-11-17,Woche vom 11.11.2013
124,30,19,2,7,0,4,0,0,0,0,0,0,154,26,2,28,4,0,4,2013-11-04,2013-11-10,Woche vom 04.11.2013
118,24,9,4,6,1,1,0,1,0,0,1,0,142,15,5,20,2,0,2,2013-10-28,2013-11-03,Woche vom 28.10.2013
228,46,27,5,0,0,4,0,0,0,0,3,0,274,27,5,32,4,0,4,2013-10-21,2013-10-27,Woche vom 21.10.2013
1263,24,54,2,1,0,3,0,1,0,0,0,0,1287,55,2,57,4,0,4,2013-10-14,2013-10-20,Woche vom 14.10.2013
1284,18,25,1,0,0,3,0,0,0,0,0,0,1302,25,1,26,3,0,3,2013-10-07,2013-10-13,Woche vom 07.10.2013
1087,24,19,0,1,0,1,0,0,0,0,0,0,1111,20,0,20,1,0,1,2013-09-30,2013-10-06,Woche vom 30.09.2013
1450,26,20,6,0,0,1,1,0,0,0,0,0,1476,20,6,26,1,1,2,2013-09-23,2013-09-29,Woche vom 23.09.2013
872,25,25,3,1,0,4,1,1,0,0,0,0,897,26,3,29,5,1,6,2013-09-16,2013-09-22,Woche vom 16.09.2013
905,45,14,2,1,0,1,0,0,0,0,1,0,950,15,2,17,1,0,1,2013-09-09,2013-09-15,Woche vom 09.09.2013
929,19,13,4,0,0,1,0,0,0,0,0,0,948,13,4,17,1,0,1,2013-09-02,2013-09-08,Woche vom 02.09.2013
986,57,11,2,1,0,1,0,0,0,0,0,0,1043,12,2,14,1,0,1,2013-08-26,2013-09-01,Woche vom 26.08.2013
1068,23,9,1,0,0,1,0,0,0,0,0,0,1091,9,1,10,1,0,1,2013-08-19,2013-08-25,Woche vom 19.08.2013
1013,30,10,1,0,0,1,0,0,0,0,0,0,1043,10,1,11,1,0,1,2013-08-12,2013-08-18,Woche vom 12.08.2013
