"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","mean_percent","mean_seconds","sum_seconds","total_seconds"
1317,0,2635,33,0,0,/videos/128161641,"Tails 0.22 - Demo (The Amnesic Incognito Live System)",367,2015-05-18T16:28:11+00:00,Array,9,33,44490,485888
64,1,143,5,0,0,/videos/15807422,"Screencast glimpse 011 - OpenSolaris 2008.11",274,2010-10-13T14:56:06+00:00,Array,34,97,6217,17810
45,0,91,8,0,0,/videos/140507651,"Linux - Kostenloser Linux-Desktop in der Cloud: LabxNow",330,2015-09-26T11:13:33+00:00,Array,62,205,9227,14820
40,1,90,6,0,0,/videos/83659375,"Google Fusion Tables Tutorial - Beispiel WLAN-Standorte in Berlin auf Karte eintragen",649,2014-01-08T08:07:16+00:00,Array,59,395,15802,26582
35,0,96,1,0,0,/videos/16514060,"Screencast glimpse 027 - Fedora 14",261,2010-11-04T20:40:05+00:00,Array,19,48,1702,8859
32,0,100,3,0,0,/videos/26970253,"Webcambilder mit Python und OpenCV am Bildschirm anzeigen",265,2011-07-27T17:11:25+00:00,Array,71,193,6202,8730
30,0,60,2,0,0,/videos/38235343,"ein Video oder ein Bild drehen - ffmpeg - Videofilter transpose",159,2012-03-09T18:10:35+00:00,Array,39,61,1836,4611
26,0,451,9,0,0,/videos/135466234,"Web Scraping mit R",557,2015-08-05T14:22:03+00:00,Array,69,388,10088,14463
24,0,52,1,0,0,/videos/136310956,"Fedora 23 Alpha (Workstation) - Demo",306,2015-08-14T15:08:59+00:00,Array,45,139,3337,7344
22,0,58,8,0,0,/videos/142776684,"Opensuse Leap 42.1 RC1 - Installation - Demo",211,2015-10-18T11:58:04+00:00,Array,55,122,2696,4853
22,3,684,6,0,0,/videos/140204552,"Python für Anfänger - Einfaches Zeichnen mit turtle",255,2015-09-23T16:31:56+00:00,Array,43,136,3006,6875
21,0,43,4,0,0,/videos/52387087,"Open webOS - Desktop - Demo",210,2012-10-29T14:05:05+00:00,Array,55,106,2233,3990
21,0,501,6,1,0,/videos/138085115,"Python für Anfänger - Python-Programme ausführen",244,2015-09-02T14:18:45+00:00,Array,56,151,3184,5600
21,0,292,5,0,0,/videos/138640900,"Web Scraping mit R - Webscraping mit rvest und dem Selector Gadget",229,2015-09-08T16:05:52+00:00,Array,65,157,3297,5038
20,2,467,8,0,0,/videos/135802843,"Python für Anfänger - Was ist Python",212,2015-08-09T16:54:12+00:00,Array,59,131,2621,4441
20,0,54,1,0,0,/videos/29564949,Webcamstudio,392,2011-09-25T17:50:08+00:00,Array,54,225,4510,8232
18,0,47,0,0,0,/videos/14140454,"Screencast 028 - Istanbul und byzanz",493,2010-08-14T16:15:23+00:00,Array,38,191,3450,8858
18,0,56,3,0,0,/videos/27872363,"Firefox - Quick Locale Switcher",194,2011-08-18T18:17:38+00:00,Array,54,105,1897,3485
16,1,38,1,0,0,/videos/43495332,"Linux Mint 13 ""Maya"" MATE Edition - Demo",314,2012-06-05T21:13:59+00:00,Array,52,164,2624,5013
16,1,310,3,0,0,/videos/139474764,"Django - Das Django-Projekt beginnen",103,2015-09-16T15:17:51+00:00,Array,60,58,941,1545
15,0,405,5,0,0,/videos/134985749,"Python für Anfänger - Was brauchst du",172,2015-07-30T20:12:34+00:00,Array,63,108,1627,2570
15,0,51,3,0,0,/videos/132917749,"Privacy Badger - die Datenschutz-Erweiterung für Firefox",182,2015-07-08T10:35:06+00:00,Array,63,115,1736,2730
13,1,40,4,0,0,/videos/133493398,"Debian 8 “Jessie” steht zur Verfügung",308,2015-07-14T20:52:54+00:00,Array,53,165,2145,4004
12,0,39,2,0,0,/videos/40247147,"LibreOffice - Writer - AutoText benutzen",223,2012-04-12T17:59:17+00:00,Array,67,150,1806,2671
12,0,39,1,0,0,/videos/15818345,"Screencast glimpse 014 - Linux Mint 6 Universal Edition Installation",333,2010-10-13T20:39:52+00:00,Array,38,128,1536,3989
12,0,43,3,0,0,/videos/133649271,"Gnome - einfache Bildschirmaufnahmen mit EasyScreenCast (Linux, Gnome 3.16)",21,2015-07-16T12:00:12+00:00,Array,43,9,108,246
