Month,Unique visitors,Number of visits,Pages,Hits,Bandwidth (in GB)
Jan,3332,13618,31849,67694,71.45
Feb,3225,12031,28215,54037,54.62
Mar,4027,14938,39207,65255,112.34
Apr,3742,13883,36535,72159,85.02
May,4885,13953,2542753,2644734,61882.97
Jun,3634,10471,52874,118925,52.48
Jul,3398,10562,37332,92945,64.78
Aug,3623,11375,35619,103146,89.05
Sep,3377,10376,33379,93493,74.75
Oct,3948,10978,38516,118683,107.21
Nov,3904,10505,38073,119271,64.43
Dec,3296,9259,33256,100663,43.72
Total,44391,141949,2947608,3651005,62702.82
