country_name,country_id,subscribers,subscribers_gained,subscribers_lost,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,watch_time_minutes,views,average_view_duration,average_percentage_viewed,watch_time_hours
Deutschland,DE,49,83,34,19,178,10.67,101,6805,1.48,148,6,4.05,0,0,0,67,2047,3.27,156,2109,7.40,2109,162,194,32,38,43,5,135,10,270,452,182,87522,52822,1.7,37.27,1459
Österreich,AT,4,8,4,0,42,0.00,22,654,3.36,10,0,0.00,0,0,0,5,153,3.27,14,157,8.92,157,17,19,2,0,3,3,4,1,23,37,14,7058,4406,1.6,34.82,118
Brasilien,BR,3,3,0,0,0,0.00,0,40,0.00,3,0,0.00,0,0,0,0,61,0.00,4,70,5.71,70,9,9,0,2,2,0,1,0,3,4,1,2108,1709,1.2,25.40,35
Vereinigte Staaten,US,3,4,1,0,2,0.00,1,108,0.93,16,2,12.50,170,194,3,1,343,0.29,22,345,6.38,345,5,6,1,4,8,4,5,1,12,16,4,4503,4400,1.0,20.48,75
Schweiz,CH,2,4,2,1,15,6.67,8,611,1.31,16,0,0.00,0,0,0,10,100,10.00,5,102,4.90,102,3,6,3,2,2,0,4,0,9,11,2,5276,3272,1.6,36.16,88
Vereinigtes Königreich,GB,2,2,0,0,0,0.00,0,30,0.00,2,0,0.00,0,0,0,0,47,0.00,2,47,4.26,47,3,3,0,2,2,0,1,0,3,3,0,1065,1028,1.0,20.16,18
Indonesien,ID,2,2,0,0,0,0.00,0,14,0.00,3,0,0.00,0,0,0,0,11,0.00,1,11,9.09,11,0,0,0,0,0,0,1,0,2,2,0,488,412,1.2,25.19,8
Rumänien,RO,2,2,0,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,1,20,5.00,6,20,30.00,20,1,1,0,0,0,0,1,0,1,1,0,294,269,1.1,21.01,5
Türkei,TR,2,3,1,0,0,0.00,0,24,0.00,3,0,0.00,0,0,0,0,25,0.00,3,25,12.00,25,1,1,0,1,2,1,3,0,4,4,0,640,671,1.0,21.29,11
Ukraine,UA,2,2,0,0,0,0.00,0,22,0.00,4,1,25.00,0,0,0,0,30,0.00,3,30,10.00,30,1,1,0,0,0,0,1,0,2,2,0,583,561,1.0,20.33,10
Bangladesch,BD,1,1,0,0,0,0.00,0,5,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,0,0,0,0,0,0,147,128,1.1,21.84,2
Belgien,BE,1,1,0,0,0,0.00,0,22,0.00,1,0,0.00,0,0,0,0,12,0.00,1,12,8.33,12,0,0,0,0,0,0,0,0,1,1,0,367,322,1.1,23.61,6
Algerien,DZ,1,1,0,0,0,0.00,0,9,0.00,1,0,0.00,0,0,0,0,4,0.00,1,4,25.00,4,1,1,0,0,0,0,0,0,1,1,0,230,217,1.1,22.57,4
Finnland,FI,1,1,0,0,0,0.00,0,10,0.00,1,0,0.00,0,0,0,0,6,0.00,0,7,0.00,7,0,0,0,0,0,0,0,0,4,4,0,187,175,1.1,24.16,3
Indien,IN,1,1,0,0,0,0.00,0,52,0.00,12,0,0.00,0,0,0,1,195,0.51,18,195,9.23,195,4,5,1,4,4,0,5,0,2,3,1,2689,2358,1.1,23.97,45
Italien,IT,1,1,0,0,1,0.00,0,37,0.00,2,0,0.00,0,0,0,0,83,0.00,13,86,15.12,86,1,1,0,0,0,0,1,0,3,3,0,1979,1489,1.3,24.96,33
Südkorea,KR,1,1,0,0,0,0.00,0,9,0.00,3,1,33.33,3,7,0,0,4,0.00,0,4,0.00,4,1,1,0,0,0,0,0,0,1,1,0,257,227,1.1,24.74,4
Marokko,MA,1,1,0,0,2,0.00,0,11,0.00,0,0,0.00,0,0,0,0,5,0.00,1,5,20.00,5,2,2,0,0,0,0,0,0,0,0,0,231,210,1.1,22.72,4
Malta,MT,1,1,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,22,15,1.4,31.64,0
Mexiko,MX,1,1,0,0,0,0.00,0,12,0.00,3,0,0.00,9,7,0,1,10,10.00,4,10,40.00,10,0,0,0,0,0,0,3,0,2,2,0,899,640,1.4,26.60,15
Peru,PE,1,1,0,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,1,5,20.00,0,5,0.00,5,0,0,0,1,1,0,0,0,0,0,0,214,182,1.2,21.92,4
Polen,PL,1,1,0,1,1,100.00,1,23,4.35,2,0,0.00,0,0,0,0,48,0.00,2,49,4.08,49,6,6,0,1,1,0,1,0,1,1,0,957,948,1.0,21.33,16
Venezuela,VE,1,1,0,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,0,0,0,0,193,128,1.5,27.61,3
Andorra,AD,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1.2,21.89,0
Vereinigte Arabische Emirate,AE,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,0,0,0,0,0,0,0,0,0,76,70,1.1,22.32,1
Afghanistan,AF,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.3,11.83,0
Antigua und Barbuda,AG,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.1,27.31,0
Albanien,AL,0,0,0,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,35,32,1.1,22.08,1
Armenien,AM,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,4,0.00,2,4,50.00,4,0,0,0,0,0,0,0,0,0,0,0,24,20,1.2,27.72,0
Angola,AO,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,17,9,1.9,34.72,0
Argentinien,AR,0,0,0,0,0,0.00,0,3,0.00,0,0,0.00,0,0,0,1,12,8.33,3,12,25.00,12,3,3,0,1,1,0,0,0,0,0,0,451,350,1.3,23.44,8
Australien,AU,0,0,0,0,0,0.00,0,2,0.00,0,0,0.00,8,10,0,0,9,0.00,4,9,44.44,9,0,0,0,0,0,0,3,0,0,0,0,410,357,1.1,23.01,7
Aruba,AW,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.9,23.95,0
Ålandinseln,AX,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1.4,22.05,0
Aserbaidschan,AZ,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0.7,12.59,0
Bosnien und Herzegowina,BA,0,0,0,0,0,0.00,0,4,0.00,0,0,0.00,0,0,0,0,0,0.00,1,1,100.00,1,0,0,0,0,0,0,0,0,1,1,0,63,57,1.1,21.49,1
