viewer_age,viewer_gender,watch_time_minutes,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,views,average_view_duration,average_percentage_viewed,watch_time_hours
13 - 17 Jah­re,Weib­lich,0.4,0.0,0.0,0.0,0.4,1.3,26.24,0.4
13 - 17 Jah­re,Männ­lich,2.1,0.1,1.5,0.1,2.6,1.0,18.62,2.1
18 - 24 Jah­re,Weib­lich,2.4,0.0,0.0,0.0,2.5,1.2,26.18,2.4
18 - 24 Jah­re,Männ­lich,16.3,12.7,14.6,12.7,20.3,1.0,18.85,16.3
25 - 34 Jah­re,Weib­lich,2.7,0.2,0.5,0.2,2.7,1.3,25.49,2.7
25 - 34 Jah­re,Männ­lich,34.3,32.4,41.3,32.4,35.6,1.2,22.73,34.3
35 - 44 Jah­re,Weib­lich,1.5,0.0,0.0,0.0,1.3,1.5,29.99,1.5
35 - 44 Jah­re,Männ­lich,20.0,37.5,27.7,37.5,17.7,1.5,26.59,20.0
45 - 54 Jah­re,Weib­lich,0.9,0.0,0.0,0.0,0.7,1.5,31.59,0.9
45 - 54 Jah­re,Männ­lich,11.1,12.2,12.1,12.2,9.1,1.6,29.77,11.1
55 - 64 Jah­re,Weib­lich,0.3,0.0,0.0,0.0,0.3,1.2,26.99,0.3
55 - 64 Jah­re,Männ­lich,4.7,3.8,0.5,3.8,3.6,1.7,32.42,4.7
65+ Jah­re,Weib­lich,0.5,0.0,0.0,0.0,0.4,1.6,33.25,0.5
65+ Jah­re,Männ­lich,3.0,1.1,1.9,1.1,2.8,1.4,26.53,3.0
