operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Win­dows,72539,52125,1.4,27.99,103,101,2,1209
Li­nux,28530,19996,1.4,28.08,41,52,1,475
An­dro­id,13071,8700,1.5,28.52,60,52,1,218
Mac­in­tosh,8598,6380,1.3,26.81,21,36,0,143
iOS,5298,3318,1.6,31.07,12,15,0,88
Sons­ti­ges,1992,1129,1.8,32.29,21,14,0,33
Smart TV,613,237,2.6,51.97,0,0,0,10
Chro­me­cast,338,115,2.9,63.09,5,1,0,6
Win­dows Mo­bi­le,240,150,1.6,27.65,0,0,0,4
Play­Sta­ti­on,207,76,2.7,50.71,1,1,0,3
Black­Ber­ry,46,28,1.7,28.41,0,0,0,1
Wii,26,10,2.6,47.84,0,0,0,0
Nin­ten­do 3DS,14,7,2.0,37.16,0,0,0,0
Xbox,7,14,0.5,9.26,0,0,0,0
Un­be­kannt,3,2,1.5,34.11,0,0,0,0
Un­be­kannt,1,1,1.3,77.58,0,0,0,0
We­bOS,0,1,0.4,10.21,0,0,0,0
