Video,Video ID,Video length (minutes),Video created,Likes,Dislikes,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes added,Likes removed,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Git für Einsteiger - Was ist Git ?,lVzEQQQGhxI,7.47,"Feb 01, 2015",10,0,334,922,15,2.76,36.97,65,236,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,9,44,20.45,0,44,0.00,44,10,0,0,0,1,2,0,0,0,7,10,3,0,0,0
Linux - cut (schneiden),Fjtw5QjQwxE,2.52,"Aug 16, 2015",8,0,67,75,1,1.11,44.22,36,43,0,0,0.00,0,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,8,0,0,0,0,0,0,0,0,2,4,2,0,0,0
Linux - gelöschte Dateien wiederherstellen,9DoDY09AAdg,3.72,"Mar 29, 2015",7,0,206,380,6,1.85,49.66,40,77,2,21,9.52,7,320,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,7,0,0,0,0,4,0,0,0,6,9,3,0,0,0
MyPaint - Zeichenprogramm,YGlbFrvZ3DI,7.98,"Mar 15, 2012",7,2,2449,3887,65,1.59,19.88,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,7,0,2,0,0,4,2,2,0,11,15,4,0,0,0
Linux - Kostenloser Linux-Desktop in der Cloud: LabxNow,dZKfFs3qoR4,5.50,"Sep 26, 2015",7,0,168,321,5,1.91,34.74,37,101,1,1,100.00,1,26,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,5,106,4.72,106,9,2,0,0,1,0,1,1,0,5,6,1,0,0,0
Evolve OS Beta 1 - Demo,tgu1xO1266k,4.07,"Jan 27, 2015",5,0,2332,2382,40,1.02,25.12,42,51,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,2,1,0,0,0,0.00,0,0,0.00,0,5,0,0,0,2,5,0,0,0,2,7,5,0,0,0
AngularJS - Hallo Welt,66opQphBDkI,5.17,"May 24, 2014",4,0,1711,3079,51,1.80,34.82,38,24,11,39,28.21,20,1473,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,19,1412,1.35,54,1412,3.82,1412,4,0,0,0,1,0,0,0,0,6,11,5,4,4,0
Linux - Webbrowsing in der Konsole mit links2,3T0rQReakUI,2.30,"Feb 26, 2015",4,0,114,125,2,1.10,47.73,25,40,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,0,0,0,0,1,0,0,0,3,5,2,1,1,0
KDE Plasma 5.2 - Demo (mit KaOS und Netrunner 15),dLV0Z5VXjVs,6.23,"Feb 16, 2015",4,1,725,823,14,1.14,18.22,28,53,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,0,1,0,0,1,0,0,0,3,5,2,0,0,0
Git für Einsteiger - Allgemeines zum Branching,rvBXmjXqpN8,2.77,"Mar 29, 2015",4,0,48,58,1,1.20,43.31,22,35,0,0,0.00,0,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,0,0,0,0,1,0,0,0,3,4,1,0,0,0
Gimp - Pfeile erzeugen,_n5BdTNw2SE,5.57,"Jan 02, 2014",4,1,2345,4348,72,1.85,33.31,2,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,2,0.00,0,2,0.00,2,4,0,1,0,1,0,1,1,0,6,9,3,1,1,0
Linktipp: 2 feine Tutorialsammlungen,dWQDbITfjtY,1.80,"Jun 28, 2015",4,0,105,117,2,1.12,62.07,63,72,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,0,0,0,0,1,0,0,0,3,4,1,0,0,0
Firefox - Leseansicht,8XXGNZ_EScc,2.77,"Jun 16, 2015",3,0,89,124,2,1.39,50.27,18,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,1,0,0,0,3,4,1,0,0,0
LibreOffice - Calc - Bedingte Formatierungen,F1aoLGhEY-w,4.62,"Apr 30, 2015",3,0,353,798,13,2.26,48.94,11,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,1,0,0,0,4,5,1,0,0,0
Fedora 23 Alpha (Workstation) - Demo,drmZqz3xtyQ,5.12,"Aug 13, 2015",3,3,1614,1562,26,0.97,18.91,31,46,3,13,23.08,13,1121,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,3,0,3,0,1,0,0,0,0,4,6,2,1,1,0
dnf - die wichtigsten Kommandos (Fedora),ZG3gs28_hmk,3.90,"Jul 30, 2015",3,0,46,72,1,1.56,39.90,22,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,1,0,0,0,3,5,2,0,0,0
Git für Einsteiger - Git-Repository anlegen,wEuGHdkINZo,5.93,"Feb 01, 2015",3,0,150,384,6,2.56,43.15,25,93,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,7,126,5.56,6,126,4.76,126,3,0,0,0,0,3,0,0,0,3,8,5,0,0,0
Das Web-Cockpit aus Fedora 21 installieren,m56xN_cSjgc,4.92,"Feb 24, 2015",3,0,220,376,6,1.71,34.74,19,44,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,3,0,0,0,3,6,3,0,0,0
Linktipp: Linux - The Art of Command Line,byOfOmhN-tU,1.27,"Jun 24, 2015",3,0,83,60,1,0.72,56.86,41,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,1,0,0,0,3,4,1,0,0,0
LibreOffice - Writer - Ändern von Seitenrändern,er12qLLm3OE,3.63,"Feb 20, 2013",3,0,363,666,11,1.84,50.53,1,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Quelltextanalyse mit pylint,lD8nNJf73lA,3.22,"Feb 13, 2015",3,0,220,263,4,1.20,37.17,28,52,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,0,0,0,0,2,0,0,0,5,8,3,1,1,0
