date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2016-01-01,279,212,1.3,27.10,0,0,0.00,0,8,0.00,0,0,0.00,0,0,0,0,10,0.00,3,10,30.00,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2016-01-02,370,272,1.4,28.21,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,0,14,0.00,3,16,18.75,16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2016-01-03,296,218,1.4,27.28,0,0,0.00,0,15,0.00,0,0,0.00,0,0,0,0,19,0.00,1,19,5.26,19,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
2016-01-04,529,284,1.9,41.17,0,0,0.00,0,18,0.00,0,0,0.00,0,0,0,0,27,0.00,1,28,3.57,28,,,1,1,0,0,0,0,0,1,0,0,0,-2,0,2,9
2016-01-05,356,238,1.5,30.21,0,0,0.00,0,19,0.00,0,0,0.00,0,0,0,0,11,0.00,3,17,17.65,17,,,2,2,0,1,1,0,0,0,0,0,0,2,2,0,6
2016-01-06,481,290,1.7,35.30,0,0,0.00,0,21,0.00,0,0,0.00,0,0,0,1,17,5.88,3,19,15.79,19,,,1,1,0,0,0,0,0,0,1,1,0,1,1,0,8
2016-01-07,478,304,1.6,34.52,0,0,0.00,0,18,0.00,0,0,0.00,0,0,0,1,11,9.09,2,14,14.29,14,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
2016-01-08,338,235,1.4,31.18,1,4,25.00,2,20,10.00,0,0,0.00,0,1,0,2,29,6.90,0,29,0.00,29,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
2016-01-09,330,228,1.4,29.87,0,2,0.00,1,16,6.25,0,0,0.00,0,1,0,1,18,5.56,3,18,16.67,18,,,1,1,0,0,0,0,0,1,2,2,0,2,2,0,5
2016-01-10,370,253,1.5,30.27,0,0,0.00,0,9,0.00,0,0,0.00,0,0,0,0,8,0.00,0,10,0.00,10,,,3,3,0,0,0,0,0,0,0,0,0,-1,0,1,6
2016-01-11,377,284,1.3,27.06,0,0,0.00,0,10,0.00,0,0,0.00,0,2,0,0,17,0.00,0,17,0.00,17,,,1,1,0,0,0,0,0,0,0,0,0,1,2,1,6
