operating_system,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Win­dows,72308,50239,1.4,31.27,64,85,1,1205
Li­nux,27274,18004,1.5,33.52,27,35,0,455
An­dro­id,14756,10212,1.4,30.65,65,53,1,246
Mac­in­tosh,8703,6229,1.4,30.07,15,22,0,145
iOS,6959,4021,1.7,37.42,7,14,0,116
Sons­ti­ges,1405,683,2.1,41.36,9,10,0,23
Smart TV,632,227,2.8,56.72,1,1,0,11
Chro­me­cast,396,135,2.9,62.77,2,1,0,7
Win­dows Mo­bi­le,179,105,1.7,34.50,0,0,0,3
Play­Sta­ti­on,132,70,1.9,34.68,0,0,0,2
Black­Ber­ry,107,33,3.3,67.41,0,0,0,2
Xbox,35,19,1.9,43.99,0,0,0,1
Ti­zen,26,15,1.7,37.32,0,0,0,0
Fire­fox,16,15,1.1,31.15,0,0,0,0
Kai­OS,5,9,0.6,14.87,0,0,0,0
Wii,5,3,1.7,28.77,0,0,0,0
Nin­ten­do 3DS,3,1,2.7,33.99,0,0,0,0
Un­be­kannt,2,1,2.3,48.27,0,0,0,0
