Video,Video ID,Video length (minutes),Video created,Comments,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
"Maxdome, Watchever und Amazon Instant Video mit Pipelight unter Linux",Sxm_IIURs78,8.58,"Apr 10, 2014",7,820,2098,35,2.56,29.81,2,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,2,1,-1,3,4,1,1,0
Informationen über ein Youtube-Video auslesen - Youtube Data API,3W41GRAx0lQ,4.70,"Oct 25, 2012",7,273,440,7,1.61,34.28,11,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,3,0,0,0,2,3,1,0,0,0
Reguläre Ausdrücke mit Regex Cross­word lernen,cuh1h57PrfQ,2.18,"Jan 28, 2015",7,76,89,1,1.18,53.93,31,46,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,5,2,0,0,0
Ubuntu Mate 15.04 Beta 1 - Demo,WtRY2avyEHc,4.60,"Mar 02, 2015",5,179,203,3,1.14,24.68,15,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0
Evolve OS Beta 1 - Demo,tgu1xO1266k,4.07,"Jan 27, 2015",5,2332,2382,40,1.02,25.12,42,51,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,2,1,0,0,0,0.00,0,0,0.00,0,5,5,0,0,0,0,2,0,0,0,2,7,5,0,0,0
Linux - gelöschte Dateien wiederherstellen,9DoDY09AAdg,3.72,"Mar 29, 2015",4,206,380,6,1.85,49.66,40,77,2,21,9.52,7,320,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,7,7,0,0,0,0,0,0,0,0,6,9,3,0,0,0
MyPaint - Zeichenprogramm,YGlbFrvZ3DI,7.98,"Mar 15, 2012",4,2449,3887,65,1.59,19.88,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,7,7,0,2,2,0,0,2,2,0,11,15,4,0,0,0
SteamOS Session installieren,bN2pJcs7KzY,4.05,"Jan 18, 2014",4,88,103,2,1.17,28.82,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
HTML und CSS - Was sind HTML und CSS ?,Gb_BwvlixKw,2.68,"Feb 25, 2015",4,42,57,1,1.35,50.45,21,24,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,6,0.00,0,6,0.00,6,1,1,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Bella OS 2.2 - Demo,ERF6pj_X2H8,4.45,"Apr 10, 2015",4,108,133,2,1.24,27.75,24,24,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,3,0.00,0,3,0.00,3,2,2,0,0,0,0,0,0,0,0,2,6,4,0,0,0
