Video,Video ID,Video length (minutes),Video created,Comments,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Informationen über ein Youtube-Video auslesen - Youtube Data API,3W41GRAx0lQ,4.70,"Oct 25, 2012",19,883,1458,24,1.65,35.14,23,49,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,11,12,1,0,2,2,3,1,2,1,3,4,1,2,2,0
Gnome3 - gnome-tweak-tool,JvL7grYgm7Q,2.20,"Apr 26, 2011",18,27900,4610,77,0.92,41.82,18,15,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,2,0,0,0,0.00,0,0,0.00,0,14,14,0,13,13,0,0,5,6,1,-1,4,5,10,11,1
"Maxdome, Watchever und Amazon Instant Video mit Pipelight unter Linux",Sxm_IIURs78,8.58,"Apr 10, 2014",12,1845,4679,78,2.54,29.55,20,55,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,7,7,0,0,0,0,1,2,3,1,2,6,4,2,2,0
Fedora 17 Beta - Demo,krdutZKGX-w,4.88,"Apr 17, 2012",11,14463,4362,73,1.23,25.26,2,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,13,15,2,4,4,0,3,0,1,1,-1,0,1,6,6,0
Webcambilder mit Python und OpenCV am Bildschirm anzeigen,pKIzCEzUxw0,4.42,"Jul 27, 2011",10,1964,2375,40,1.96,44.36,70,178,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,3,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"Suchen und Finden mit Ack, statt grep",wJc1izhskT8,6.25,"Apr 30, 2014",8,206,427,7,2.07,33.15,28,52,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,5,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Reguläre Ausdrücke mit Regex Cross­word lernen,cuh1h57PrfQ,2.18,"Jan 28, 2015",7,78,91,2,1.17,53.36,31,46,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,5,2,0,0,0
SteamOS 1.0 Beta - Demo (SteamOS alchemist - Test) - ohne Ton,zesqypIFRsU,10.47,"Dec 15, 2013",7,601,717,12,1.19,11.36,11,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - OOP - Klassen in Python,_5oZrq63eis,6.25,"Feb 29, 2012",7,2598,5461,91,2.46,39.45,84,222,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,5,6,1,2,2,0,1,1,3,2,4,7,3,12,12,0
MyPaint - Zeichenprogramm,YGlbFrvZ3DI,7.98,"Mar 15, 2012",6,6758,10281,171,1.62,20.29,9,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,30,30,0,4,4,0,0,2,3,1,13,18,5,4,4,0
