video_title,video_id,video_length_minutes,video_created,comments,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_minutes,views,average_view_duration,average_percentage_viewed,watch_time_hours
HTML und CSS - Webseite veröffentlichen (Hosting),rnRCYP5dFrY,6.85,"Aug 03, 2015",5,9,128,7.03,77,2111,3.65,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,25,28,3,1,2,1,11,22,28,6,1,1,0,5381,2223,2.4,35.34,90
Python-Programmierung - For-Schleife,UMFFpg1hGV8,3.38,"Mar 20, 2011",3,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,575,421,1.4,40.36,10
Gimp - Pfeile erzeugen,_n5BdTNw2SE,5.57,"Jan 02, 2014",3,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,10,15,5,7,8,1,1,5,5,0,1,1,0,5617,3601,1.6,28.02,94
Open webOS - Desktop - Demo,6_Rn3TXEf5o,3.52,"Oct 17, 2012",2,0,0,0.00,0,0,0.00,0,0,0.00,2,4,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,363,402,0.9,25.65,6
Python-Programmierung - OOP - Klassen in Python,_5oZrq63eis,6.25,"Feb 29, 2012",2,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,2,3,1,1,3,3,0,0,0,0,866,361,2.4,38.37,14
MX Linux 16.1 - Demo (ohne Audio),e0IImJdsIJ8,5.18,"Jun 09, 2017",2,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,3,5,2,0,0,0,105,92,1.1,21.97,2
Raspberry Pi - eine LED ein- und ausschalten,iFewgCdIdMU,9.05,"May 01, 2014",2,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,93,0.00,8,93,8.60,93,2,2,0,0,0,0,0,0,0,0,0,0,0,298,184,1.6,17.89,5
ffmpeg - Text in ein Video zeichnen (Videofilter drawtext),zyHFkgBQf7k,3.88,"Oct 09, 2013",2,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,529,527,1.0,25.83,9
Informationen über ein Youtube-Video auslesen - Youtube Data API,3W41GRAx0lQ,4.70,"Oct 25, 2012",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,2,1,0,0,0,10,2,4,2,0,0,0,276,201,1.4,29.21,5
Linux - Minecraft installieren,6TQ_Wxrrd9o,4.12,"Mar 08, 2017",1,0,5,0.00,7,236,2.97,0,0,0.00,0,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,3,5,2,1,1,0,352,301,1.2,28.40,6
Gnome 3.24 - Web - Demo,7VdMmpYRRaM,2.27,"Mar 22, 2017",1,0,0,0.00,0,0,0.00,0,0,0.00,7,3,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,2,3,1,0,0,0,264,350,0.8,33.28,4
Screencast short 007 - OpenOffice Writer - Text durchstreichen,CsualqZFX0I,0.87,"Jan 30, 2011",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,5,3,0,0,0,242,394,0.6,70.87,4
LibreOffice - Seitenleiste und Erscheinungsbild,DyIFALa2XVs,4.73,"Apr 18, 2014",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,1,0,0,0,0,112,69,1.6,34.39,2
Semplice Linux 7 - Demo,IIVSK_XjOXY,5.33,"Apr 10, 2015",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,109,1.3,23.61,2
Linux - Istanbul und byzanz,Jj04A02_FS8,8.22,"Dec 13, 2011",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,47,1.7,21.21,1
Gnome 3.24 - Games - Demo,MHTgJyxblg0,1.08,"Mar 22, 2017",1,0,0,0.00,0,0,0.00,0,0,0.00,1,1,0,0,0,0.00,0,0,0.00,0,3,4,1,0,0,0,0,2,3,1,0,0,0,101,173,0.6,53.65,2
"TrueOS 2017-02-22 - Demo (based on FreeBSD, Lumina Desktop)",T18Cp8C0ME4,5.77,"Feb 25, 2017",1,0,0,0.00,0,0,0.00,0,0,0.00,26,24,0,0,0,0.00,0,0,0.00,0,5,5,0,1,1,0,2,15,19,4,0,0,0,2742,2382,1.2,19.96,46
