country_name,country_id,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
Deutschland,DE,75374,47037,1.6,34.85,21,96,21.88,50,4437,1.13,0,0,0.00,0,0,0,83,3324,2.50,238,3402,7.00,3402,173,183,10,42,45,3,26,23,148,260,112,33,88,55,1256
Österreich,AT,6613,3931,1.7,35.79,1,5,20.00,3,365,0.82,0,0,0.00,0,0,0,13,279,4.66,11,286,3.85,286,14,15,1,2,2,0,2,1,3,5,2,-1,4,5,110
Vereinigte Staaten,US,6470,6188,1.0,18.35,0,0,0.00,0,54,0.00,0,0,0.00,243,255,4,3,226,1.33,20,227,8.81,227,11,12,1,5,7,2,3,7,23,28,5,4,5,1,108
Schweiz,CH,5468,3028,1.8,39.88,2,10,20.00,6,316,1.90,0,0,0.00,0,0,0,3,191,1.57,16,193,8.29,193,5,5,0,5,6,1,1,1,11,14,3,0,5,5,91
Indien,IN,2807,2417,1.2,20.83,0,0,0.00,0,34,0.00,0,0,0.00,0,0,0,1,75,1.33,5,84,5.95,84,3,3,0,0,0,0,2,0,5,6,1,2,2,0,47
Brasilien,BR,2605,1991,1.3,23.43,0,0,0.00,0,24,0.00,0,0,0.00,0,0,0,0,25,0.00,6,41,14.63,41,8,8,0,2,2,0,0,1,12,16,4,1,2,1,43
Italien,IT,2511,1906,1.3,22.71,0,0,0.00,0,42,0.00,0,0,0.00,0,0,0,1,94,1.06,22,98,22.45,98,0,0,0,1,1,0,1,0,1,2,1,0,0,0,42
Frankreich,FR,2088,1833,1.1,20.21,0,0,0.00,0,27,0.00,0,0,0.00,0,0,0,0,33,0.00,9,34,26.47,34,2,2,0,2,2,0,0,1,4,4,0,0,0,0,35
Spanien,ES,1742,1431,1.2,21.31,0,3,0.00,5,17,29.41,0,0,0.00,0,0,0,2,124,1.61,21,124,16.94,124,1,1,0,0,0,0,0,0,0,0,0,1,1,0,29
Vereinigtes Königreich,GB,1597,1484,1.1,18.70,0,0,0.00,0,6,0.00,0,0,0.00,0,0,0,0,41,0.00,9,41,21.95,41,0,0,0,2,2,0,0,1,0,5,5,4,4,0,27
Mexiko,MX,1367,997,1.4,23.18,0,0,0.00,0,11,0.00,0,0,0.00,6,8,0,1,19,5.26,12,19,63.16,19,2,2,0,1,1,0,1,0,8,8,0,4,4,0,23
Russland,RU,1201,1283,0.9,16.56,0,0,0.00,0,21,0.00,0,0,0.00,0,0,0,0,32,0.00,5,32,15.62,32,1,2,1,0,1,1,0,1,6,6,0,-3,0,3,20
Polen,PL,980,997,1.0,17.53,0,0,0.00,0,13,0.00,0,0,0.00,0,0,0,0,19,0.00,1,19,5.26,19,0,0,0,0,0,0,1,0,4,4,0,2,2,0,16
Kanada,CA,952,951,1.0,17.00,0,0,0.00,0,15,0.00,0,0,0.00,0,0,0,0,16,0.00,2,16,12.50,16,1,1,0,0,0,0,1,0,0,2,2,0,0,0,16
Niederlande,NL,924,810,1.1,21.48,0,0,0.00,0,25,0.00,0,0,0.00,0,0,0,0,67,0.00,5,69,7.25,69,0,0,0,0,0,0,0,0,4,6,2,1,2,1,15
Indonesien,ID,813,602,1.4,22.96,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,0,8,0.00,1,12,8.33,12,0,0,0,0,0,0,0,0,6,6,0,0,0,0,14
Türkei,TR,728,669,1.1,20.15,0,0,0.00,0,13,0.00,0,0,0.00,0,0,0,0,17,0.00,2,17,11.76,17,2,2,0,1,2,1,0,0,2,4,2,2,2,0,12
Ukraine,UA,727,676,1.1,18.03,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,1,25,4.00,7,25,28.00,25,1,1,0,1,1,0,0,0,3,3,0,0,0,0,12
Argentinien,AR,691,505,1.4,21.91,0,1,0.00,1,4,25.00,0,0,0.00,0,0,0,0,5,0.00,2,6,33.33,6,1,1,0,0,0,0,0,0,4,4,0,0,0,0,12
Australien,AU,628,527,1.2,20.42,0,0,0.00,0,5,0.00,0,0,0.00,14,8,0,0,16,0.00,1,17,5.88,17,0,0,0,0,0,0,1,0,8,8,0,1,1,0,10
Kolumbien,CO,618,446,1.4,23.84,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,0,12,0.00,6,12,50.00,12,1,1,0,0,0,0,1,1,1,1,0,1,1,0,10
Belgien,BE,587,473,1.2,21.49,0,0,0.00,0,10,0.00,0,0,0.00,0,0,0,0,33,0.00,7,33,21.21,33,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10
Japan,JP,572,502,1.1,19.88,0,0,0.00,0,4,0.00,0,0,0.00,0,0,0,0,31,0.00,3,31,9.68,31,0,0,0,0,0,0,1,2,4,5,1,1,1,0,10
Thailand,TH,443,317,1.4,25.79,0,0,0.00,0,4,0.00,0,0,0.00,0,0,0,0,11,0.00,1,11,9.09,11,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7
Griechenland,GR,425,336,1.3,22.35,0,0,0.00,0,5,0.00,0,0,0.00,0,0,0,0,8,0.00,0,8,0.00,8,3,3,0,0,0,0,0,0,1,1,0,1,1,0,7
Venezuela,VE,420,235,1.8,29.71,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0,1,4,25.00,1,4,25.00,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7
Tschechien,CZ,410,420,1.0,17.56,0,0,0.00,0,10,0.00,0,0,0.00,0,0,0,0,74,0.00,21,74,28.38,74,1,1,0,1,1,0,0,0,0,0,0,0,0,0,7
