Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
DEFT Linux 8 (Digital Evidence & Forensic Toolkit) - Demo,XzRACOBnMas,5.78,"Jul 28, 2013",6747,4200,1.61,27.78,112,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,2,2,0,0,1,0.00,0,1,0.00,1,0,0,0,2,2,0,0,0,0,0,0,6,10,4,4,4,0
CAELinux 2013 - Demo,UcOyFalHO4U,7.83,"Mar 11, 2014",6087,3216,1.89,24.16,101,2,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,1,1,0,0,1,0.00,1,1,100.00,1,2,3,1,4,4,0,0,0,0,0,0,5,7,2,1,1,0
Gimp - Pfeile erzeugen,_n5BdTNw2SE,5.57,"Jan 02, 2014",4348,2345,1.85,33.31,72,2,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,2,0.00,0,2,0.00,2,4,4,0,1,1,0,1,0,1,1,0,6,9,3,1,1,0
"Python-Programmierung - Das erste ""nützliche"" Programm",V9XBq57NrIw,5.50,"Sep 04, 2013",4005,1658,2.42,43.92,67,57,178,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,1,1,0,0,1,0,0,0,2,4,2,-1,0,1
MyPaint - Zeichenprogramm,YGlbFrvZ3DI,7.98,"Mar 15, 2012",3887,2449,1.59,19.88,65,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,7,7,0,2,2,0,0,4,2,2,0,11,15,4,0,0,0
AngularJS - Hallo Welt,66opQphBDkI,5.17,"May 24, 2014",3079,1711,1.80,34.82,51,38,24,11,39,28.21,20,1473,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,19,1412,1.35,54,1412,3.82,1412,4,4,0,0,0,0,1,0,0,0,0,6,11,5,4,4,0
AngularJS - Was ist angular.js,7YjKmFQhh4k,5.93,"May 18, 2014",2930,1011,2.90,48.84,49,20,46,1,1,100.00,1,276,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,2,2,0,1,0,0,0,0,4,8,4,2,2,0
Python-Programmierung - Die interaktive Shell,KyMNA_0Nm-Q,3.12,"Sep 02, 2013",2556,1897,1.35,43.24,43,92,106,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,1,1,0,0,0,0,0,0,1,6,5,12,13,1
Raspberry Pi - arkos installieren (Self-Hosting ganz einfach),_-eE1HDBGuI,5.68,"Nov 06, 2013",2459,1543,1.59,28.05,41,16,44,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,17,1195,1.42,423,1195,35.40,1195,3,3,0,1,1,0,1,0,1,1,0,5,10,5,0,0,0
Evolve OS Beta 1 - Demo,tgu1xO1266k,4.07,"Jan 27, 2015",2382,2332,1.02,25.12,40,42,51,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,2,1,0,0,0,0.00,0,0,0.00,0,5,5,0,0,0,0,2,5,0,0,0,2,7,5,0,0,0
