Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
DEFT Linux 8 (Digital Evidence & Forensic Toolkit) - Demo,XzRACOBnMas,5.78,"Jul 28, 2013",16191,9573,1.69,29.25,270,13,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,2,3,0,0,1,0.00,0,1,0.00,1,9,9,0,2,2,0,1,2,2,2,0,9,14,5,8,8,0
Raspberry Pi - arkos installieren (Self-Hosting ganz einfach),_-eE1HDBGuI,5.68,"Nov 06, 2013",12475,7235,1.72,30.34,208,71,195,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,65,4756,1.37,1540,4756,32.38,4756,10,10,0,1,1,0,2,2,4,4,0,5,11,6,2,2,0
Fedora 20 Alpha - Gnome 3.10 - Demo,Vy4b2oRC2GM,7.15,"Sep 28, 2013",11603,7739,1.50,20.97,193,12,27,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,12,12,0,4,4,0,4,6,1,1,0,-2,0,2,5,5,0
"Python-Programmierung - Das erste ""nützliche"" Programm",V9XBq57NrIw,5.50,"Sep 04, 2013",11537,4456,2.59,47.07,192,147,447,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,10,10,0,1,1,0,0,1,0,0,0,3,6,3,0,1,1
CAELinux 2013 - Demo,UcOyFalHO4U,7.83,"Mar 11, 2014",11329,5718,1.98,25.29,189,19,31,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,1,1,0,0,2,0.00,1,1,100.00,2,6,7,1,4,4,0,1,2,0,0,0,7,10,3,3,3,0
MyPaint - Zeichenprogramm,YGlbFrvZ3DI,7.98,"Mar 15, 2012",10281,6758,1.62,20.29,171,9,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,30,30,0,4,4,0,0,6,2,3,1,13,18,5,4,4,0
Ubuntu Studio 13.10 - Demo,dp3Nwqe9wJA,10.30,"Oct 19, 2013",9306,5378,1.73,16.80,155,21,21,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,4,0.00,0,3,0.00,5,3,4,1,0,1,1,4,5,2,4,2,0,1,1,2,2,0
Gimp - Pfeile erzeugen,_n5BdTNw2SE,5.57,"Jan 02, 2014",7410,3848,1.93,34.59,124,14,38,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,2,0.00,0,2,0.00,2,10,10,0,2,2,0,1,4,1,1,0,9,12,3,1,1,0
Python-Programmierung - Die interaktive Shell,KyMNA_0Nm-Q,3.12,"Sep 02, 2013",7147,4586,1.56,50.00,119,231,298,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,5,5,0,1,1,0,1,0,1,1,0,1,6,5,30,31,1
Python-Programmierung - Hallo Welt,VcKxtM2bfCM,3.45,"Sep 02, 2013",6678,3101,2.15,62.42,111,132,296,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,5,5,0,1,1,0,0,2,0,0,0,2,3,1,5,6,1
