Date,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Unique cookies (web only),Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Videos published,Videos added,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
"Jan 01, 2015",476,257,1.85,37.24,144,8,0,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,11,0.00,1,11,9.09,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,1
"Jan 02, 2015",516,286,1.80,36.45,177,9,1,4,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,9,11.11,2,9,22.22,9,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0
"Jan 03, 2015",597,411,1.45,29.59,203,10,3,5,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,4,16,25.00,16,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
"Jan 04, 2015",699,427,1.64,33.35,199,12,5,4,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,27,3.70,2,27,7.41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"Jan 05, 2015",571,337,1.69,37.76,186,10,42,78,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,13,0.00,2,13,15.38,13,0,0,1,2,1,0,0,0,0,0,0,0,0,3,5,2,1,1,0
"Jan 06, 2015",520,318,1.64,33.23,191,9,26,27,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,2,26,7.69,4,27,14.81,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"Jan 07, 2015",560,299,1.87,39.50,172,9,4,7,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,19,5.26,2,19,10.53,19,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,1,1,0
"Jan 08, 2015",473,292,1.62,32.39,202,8,0,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,15,0.00,3,15,20.00,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"Jan 09, 2015",451,298,1.51,30.33,191,8,14,52,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,9,0.00,1,10,10.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Jan 10, 2015",430,286,1.50,29.28,178,7,7,28,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,9,0.00,2,9,22.22,9,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0
