date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-01-01,238,163,1.5,32.32,0,0,0.00,0,9,0.00,0,0,0.00,2,2,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
2017-01-02,390,280,1.4,29.30,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,0,5,0.00,0,5,0.00,5,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,6
2017-01-03,433,259,1.7,34.64,0,0,0.00,0,12,0.00,0,0,0.00,0,0,0,3,21,14.29,0,21,0.00,21,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,7
2017-01-04,390,243,1.6,32.25,0,0,0.00,0,27,0.00,0,0,0.00,0,0,0,0,10,0.00,0,12,0.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2017-01-05,337,229,1.5,30.48,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,0,4,0.00,1,4,25.00,4,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,6
2017-01-06,342,276,1.2,25.87,0,0,0.00,0,9,0.00,0,0,0.00,0,0,0,0,5,0.00,0,5,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-01-07,251,179,1.4,27.19,0,0,0.00,0,8,0.00,0,0,0.00,0,0,0,0,2,0.00,2,2,100.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017-01-08,416,290,1.4,31.24,0,0,0.00,0,9,0.00,0,0,0.00,1,1,0,0,5,0.00,2,5,40.00,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7
2017-01-09,376,269,1.4,30.80,0,0,0.00,0,19,0.00,0,0,0.00,0,1,0,0,2,0.00,1,2,50.00,2,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,6
2017-01-10,481,302,1.6,32.87,4,12,33.33,9,26,34.62,0,0,0.00,0,0,0,2,24,8.33,0,24,0.00,24,0,0,1,1,0,1,1,0,11,0,1,2,1,0,0,0,8
2017-01-11,361,254,1.4,30.22,0,0,0.00,0,32,0.00,0,0,0.00,1,2,0,0,14,0.00,1,14,7.14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-01-12,463,276,1.7,35.62,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,0,7,0.00,1,7,14.29,7,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,8
2017-01-13,325,234,1.4,29.94,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,0,10,0.00,2,10,20.00,10,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,5
2017-01-14,336,202,1.7,36.48,0,0,0.00,0,13,0.00,0,0,0.00,0,0,0,0,13,0.00,1,13,7.69,13,0,0,1,1,0,1,1,0,0,0,-1,1,2,0,0,0,6
2017-01-15,421,260,1.6,35.09,0,0,0.00,0,18,0.00,0,0,0.00,0,0,0,0,7,0.00,1,7,14.29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2017-01-16,340,252,1.3,27.23,0,4,0.00,2,10,20.00,0,0,0.00,0,0,0,0,6,0.00,0,6,0.00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,6
2017-01-17,383,267,1.4,28.95,0,0,0.00,0,26,0.00,0,0,0.00,0,0,0,0,5,0.00,1,5,20.00,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
