Traffic source type,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours)
YT_SEARCH,57291,40197,1.43,27.99,955,4,13,0
EXT_URL,39169,28014,1.40,29.44,653,8,9,0
PLAYLIST,25411,11465,2.22,49.95,424,0,0,0
YT_RELATED,12246,7638,1.60,31.56,204,0,0,0
UNKNOWN_MOBILE_OR_DIRECT,11394,7568,1.51,32.10,190,0,0,0
SUBSCRIBER,3985,2508,1.59,36.73,66,0,0,0
YT_CHANNEL,3611,2636,1.37,34.28,60,0,0,0
YT_PLAYLIST_PAGE,1275,702,1.82,40.64,21,0,1,0
YT_OTHER_PAGE,1033,577,1.79,43.29,17,0,0,0
EXT_APP,1014,555,1.83,36.14,17,0,0,0
UNKNOWN_EMBEDDED,952,664,1.43,28.59,16,0,0,0
ANNOTATION,343,145,2.37,43.88,6,0,0,0
NOTIFICATION,106,59,1.80,47.23,2,0,0,0
