traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Ex­tern,56302,42422,1.3,26.41,135,152,2,938
YouTube-Su­che,44033,31324,1.4,27.72,94,91,2,734
Vi­deo­vor­schlä­ge,11887,7142,1.7,29.68,7,10,0,198
Play­lists,9280,4282,2.2,49.41,1,4,0,155
Di­rekt oder un­be­kannt,3734,2875,1.3,27.20,9,6,0,62
Play­list-Sei­te,1867,1179,1.6,35.24,0,1,0,31
YouTube-Ka­nä­le,1709,1623,1.1,23.92,4,1,0,28
Funk­tio­nen zur Aus­wahl von In­hal­ten,1345,846,1.6,26.48,0,1,0,22
Wei­te­re YouTube-Funk­tio­nen,977,408,2.4,48.30,14,6,0,16
In­fo­kar­ten und An­mer­kun­gen in Vi­deo,349,147,2.4,44.71,0,0,0,6
Be­nach­rich­ti­gun­gen,39,41,0.9,13.42,0,0,0,1
